"r1000","Arroz con Pollo","arroz, pollo, cebolla, pimentón, ajo, aceite, sal, agua","En una olla grande, calienta 2 cucharadas de aceite a fuego medio. Sofríe 1 cebolla picada y 1 pimentón picado hasta que la cebolla esté transparente. Añade 500 g de pollo trozado y cocina hasta que esté dorado por todos lados. Incorpora 1 diente de ajo picado y 1 taza de arroz; mezcla bien. Vierte 2 tazas de agua hirviendo, sazona con sal al gusto, y reduce el fuego a bajo. Cocina tapado durante 15-20 minutos o hasta que el arroz esté tierno y el líquido se haya absorbido.","2"
"r1010","Ensalada César con Pollo","pollo, lechuga, pan tostado, queso parmesano, aderezo césar","Cocina 2 pechugas de pollo a la plancha y córtalas en tiras. Lava y corta 1 lechuga romana en trozos. En un bol grande, mezcla la lechuga con 1/2 taza de pan tostado en cubos, 1/4 taza de queso parmesano rallado y el aderezo césar al gusto. Añade el pollo y mezcla bien antes de servir.","1"
"r1020","Pasta con Pesto y Tomate Cherry","pasta, albahaca, piñones, ajo, aceite de oliva, queso parmesano, tomate cherry, sal","Cocina 200 g de pasta según las instrucciones del paquete. En una licuadora, mezcla 1 taza de albahaca fresca, 1/4 taza de piñones, 2 dientes de ajo, 1/4 taza de queso parmesano rallado y 1/4 taza de aceite de oliva hasta obtener una salsa suave. En una sartén grande, saltea 1 taza de tomates cherry cortados a la mitad con 1 cucharada de aceite de oliva durante 2-3 minutos. Añade la pasta y la salsa pesto, mezcla bien y sirve caliente.","2"
"r1030","Tacos de Pollo","pollo, tortillas de maíz, cebolla, cilantro, limón, sal","Cocina 2 pechugas de pollo y desmenúzalas. Calienta las tortillas de maíz. En cada tortilla, coloca una porción de pollo desmenuzado, cebolla picada, cilantro picado y un chorrito de jugo de limón. Sazona con sal al gusto y sirve.","1"
"r1040","Quinoa con Verduras Asadas","quinoa, pimiento, calabacín, berenjena, cebolla, aceite de oliva, sal, pimienta","Precalienta el horno a 200°C. Corta 1 pimiento, 1 calabacín, 1 berenjena y 1 cebolla en trozos medianos. En una bandeja para hornear, mezcla las verduras con 2 cucharadas de aceite de oliva, sal y pimienta al gusto. Hornea durante 20-25 minutos hasta que estén doradas y tiernas. Cocina 1 taza de quinoa según las instrucciones del paquete. Mezcla la quinoa con las verduras asadas y sirve caliente.","2"
"r1050","Sándwich de Pavo y Aguacate","pan integral, pavo, aguacate, lechuga, tomate, mayonesa","Tuesta 2 rebanadas de pan integral. Unta mayonesa en una rebanada. Coloca 2-3 lonchas de pavo, 1/2 aguacate en rodajas, hojas de lechuga y rodajas de tomate. Cubre con la otra rebanada de pan y corta por la mitad antes de servir.","1"
"r1060","Lentejas con Arroz","lentejas, arroz, cebolla, ajo, pimiento, tomate, aceite de oliva, sal","Cocina 1 taza de lentejas en agua hirviendo durante 20-25 minutos hasta que estén tiernas. En una sartén grande, calienta 2 cucharadas de aceite de oliva y sofríe 1 cebolla picada, 2 dientes de ajo picados y 1 pimiento picado hasta que estén tiernos. Añade 2 tomates picados y cocina por 5 minutos más. Incorpora las lentejas cocidas y 1 taza de arroz cocido. Sazona con sal al gusto y mezcla bien antes de servir.","2"
"r1070","Pollo al Curry con Arroz","pollo, cebolla, ajo, jengibre, curry en polvo, leche de coco, arroz, aceite de oliva, sal","Cocina 1 taza de arroz según las instrucciones del paquete. En una sartén grande, calienta 2 cucharadas de aceite de oliva y sofríe 1 cebolla picada, 2 dientes de ajo picados y 1 cucharadita de jengibre rallado hasta que estén dorados. Añade 500 g de pollo cortado en cubos y cocina hasta que esté dorado. Incorpora 1 cucharada de curry en polvo y 1 taza de leche de coco. Cocina a fuego lento durante 10-15 minutos. Sirve el pollo al curry con el arroz.","2"
"r1080","Salmón al Horno con Verduras","salmón, pimiento, calabacín, cebolla, aceite de oliva, sal, pimienta","Precalienta el horno a 200°C. Corta 1 pimiento, 1 calabacín y 1 cebolla en trozos medianos. En una bandeja para hornear, coloca 2 filetes de salmón y rodea con las verduras. Rocía con 2 cucharadas de aceite de oliva, sal y pimienta al gusto. Hornea durante 15-20 minutos hasta que el salmón esté bien cocido y las verduras tiernas.","2"
"r1090","Fajitas de Res","res, pimiento, cebolla, tortillas de trigo, limón, aceite de oliva, sal, pimienta","Corta 500 g de filete de res en tiras y marina con el jugo de 1 limón, 2 cucharadas de aceite de oliva, sal y pimienta al gusto durante 30 minutos. En una sartén grande, calienta 1 cucharada de aceite y cocina las tiras de res junto con 1 pimiento y 1 cebolla, ambos cortados en tiras, hasta que estén dorados. Calienta las tortillas de trigo y sirve las fajitas con la res y los vegetales.","2"
"r1100","Ensalada de Atún","atún, lechuga, tomate, cebolla, maíz, mayonesa, sal, pimienta","En un bol grande, mezcla 1 lata de atún escurrido, 4 tazas de lechuga picada, 2 tomates en cubos, 1/2 cebolla picada y 1 taza de maíz. Añade 2 cucharadas de mayonesa, sal y pimienta al gusto. Mezcla bien y sirve.","1"
"r1110","Spaghetti Aglio e Olio","spaghetti, ajo, aceite de oliva, perejil, chile en hojuelas, sal","Cocina 200 g de spaghetti según las instrucciones del paquete. En una sartén grande, calienta 1/4 taza de aceite de oliva y sofríe 4 dientes de ajo en rodajas y 1 cucharadita de chile en hojuelas hasta que el ajo esté dorado. Añade la pasta cocida y mezcla bien. Incorpora 1/4 taza de perejil picado y sal al gusto. Sirve caliente.","1"
"r1120","Burritos de Frijoles y Arroz","tortillas de trigo, frijoles, arroz, queso, lechuga, tomate, salsa de tomate","Cocina 1 taza de arroz según las instrucciones del paquete. En un bol grande, mezcla el arroz cocido, 1 lata de frijoles escurridos, 1/2 taza de queso rallado, 1 taza de lechuga picada y 2 tomates en cubos. Rellena cada tortilla con la mezcla, enrolla y sirve con salsa de tomate al gusto.","1"
"r1130","Pollo a la Plancha con Verduras","pollo, zanahoria, brócoli, calabacín, aceite de oliva, sal, pimienta","Cocina 2 pechugas de pollo a la plancha hasta que estén bien cocidas. En una sartén grande, calienta 2 cucharadas de aceite de oliva y saltea 2 zanahorias en rodajas, 1 cabeza de brócoli en trozos y 1 calabacín en rodajas hasta que estén tiernos. Sazona con sal y pimienta al gusto. Sirve el pollo con las verduras salteadas.","1"
"r1140","Ensalada de Quinoa y Pollo","quinoa, pollo, espinacas, tomate, pepino, cebolla, aceite de oliva, limón, sal","Cocina 1 taza de quinoa según las instrucciones del paquete. Cocina 2 pechugas de pollo y córtalas en tiras. En un bol grande, mezcla la quinoa con 2 tazas de espinacas, 2 tomates en cubos, 1 pepino en rodajas y 1/2 cebolla picada. Añade el pollo y adereza con 2 cucharadas de aceite de oliva, el jugo de 1 limón, sal al gusto y mezcla bien antes de servir.","2"
"r1150","Curry de Garbanzos","garbanzos, cebolla, ajo, jengibre, tomate, leche de coco, curry en polvo, cilantro, aceite de oliva, sal","En una sartén grande, calienta 2 cucharadas de aceite de oliva y sofríe 1 cebolla picada, 2 dientes de ajo picados y 1 cucharadita de jengibre rallado hasta que estén dorados. Añade 2 tomates picados y cocina por 5 minutos más. Incorpora 1 cucharada de curry en polvo y 1 taza de leche de coco. Añade 2 tazas de garbanzos cocidos y cocina a fuego lento durante 10-15 minutos. Decora con cilantro picado antes de servir.","2"
"r1160","Sopa de Pollo y Fideos","pollo, fideos, zanahoria, apio, cebolla, ajo, caldo de pollo, aceite de oliva, sal","En una olla grande, calienta 2 cucharadas de aceite de oliva y sofríe 1 cebolla picada, 2 zanahorias en rodajas, 2 ramas de apio picadas y 2 dientes de ajo picados hasta que estén tiernos. Añade 1 litro de caldo de pollo y lleva a ebullición. Incorpora 2 pechugas de pollo trozadas y 1 taza de fideos. Cocina a fuego lento durante 20-25 minutos hasta que los fideos estén tiernos. Sazona con sal al gusto y sirve caliente.","1"
"r1170","Tarta de Espinacas y Queso","masa de tarta, espinacas, queso ricotta, huevo, cebolla, ajo, sal, pimienta","Precalienta el horno a 180°C. En una sartén grande, calienta 1 cucharada de aceite de oliva y sofríe 1 cebolla picada y 2 dientes de ajo picados hasta que estén tiernos. Añade 4 tazas de espinacas y cocina hasta que estén marchitas. En un bol, mezcla las espinacas cocidas con 200 g de queso ricotta y 1 huevo. Sazona con sal y pimienta al gusto. Extiende la masa de tarta en un molde y rellena con la mezcla de espinacas. Hornea durante 30-35 minutos hasta que esté dorada y firme.","2"
"r1180","Pollo al Limón","pollo, limón, ajo, perejil, aceite de oliva, sal, pimienta","Cocina 2 pechugas de pollo a la plancha hasta que estén bien cocidas. En una sartén pequeña, calienta 2 cucharadas de aceite de oliva y sofríe 2 dientes de ajo picados hasta que estén dorados. Añade el jugo de 1 limón y 2 cucharadas de perejil picado. Sazona con sal y pimienta al gusto. Vierte la salsa sobre el pollo y sirve caliente.","1"
"r1190","Salmón a la Parrilla con Espárragos","salmón, espárragos, limón, aceite de oliva, sal, pimienta","Precalienta la parrilla a fuego medio-alto. Sazona 2 filetes de salmón con sal y pimienta al gusto. Asa el salmón durante 4-5 minutos por cada lado hasta que esté bien cocido. En una sartén grande, calienta 2 cucharadas de aceite de oliva y saltea 1 manojo de espárragos hasta que estén tiernos. Sirve el salmón con los espárragos y rocía con jugo de limón antes de servir.","2"
"r1200","Wrap de Pollo y Verduras","tortillas de trigo, pollo, lechuga, tomate, pepino, zanahoria, mayonesa","Cocina 2 pechugas de pollo a la plancha y córtalas en tiras. En cada tortilla, coloca una porción de pollo, hojas de lechuga, rodajas de tomate, pepino y zanahoria rallada. Añade 1 cucharada de mayonesa y enrolla la tortilla. Corta por la mitad antes de servir.","1"
"r1210","Arroz con Verduras","arroz, zanahoria, guisantes, maíz, cebolla, ajo, aceite de oliva, sal","Cocina 1 taza de arroz según las instrucciones del paquete. En una sartén grande, calienta 2 cucharadas de aceite de oliva y sofríe 1 cebolla picada, 2 dientes de ajo picados, 1 zanahoria picada, 1/2 taza de guisantes y 1/2 taza de maíz hasta que estén tiernos. Añade el arroz cocido y mezcla bien. Sazona con sal al gusto antes de servir.","1"
"r1220","Pimientos Rellenos","pimientos, arroz, carne molida, cebolla, ajo, tomate, queso, aceite de oliva, sal, pimienta","Precalienta el horno a 180°C. Corta la parte superior de 4 pimientos y retira las semillas. Cocina 1 taza de arroz según las instrucciones del paquete. En una sartén grande, calienta 2 cucharadas de aceite de oliva y sofríe 1 cebolla picada y 2 dientes de ajo picados hasta que estén tiernos. Añade 300 g de carne molida y cocina hasta que esté dorada. Incorpora 2 tomates picados y el arroz cocido. Sazona con sal y pimienta al gusto. Rellena los pimientos con la mezcla y coloca en una bandeja para hornear. Espolvorea con queso rallado y hornea durante 25-30 minutos hasta que los pimientos estén tiernos y el queso dorado.","2"
"r1230","Brochetas de Pollo y Verduras","pollo, pimiento, cebolla, calabacín, aceite de oliva, sal, pimienta","Corta 500 g de pechugas de pollo en cubos. Corta 1 pimiento, 1 cebolla y 1 calabacín en trozos medianos. Ensarta los cubos de pollo y las verduras en brochetas. Sazona con sal y pimienta al gusto y rocía con 2 cucharadas de aceite de oliva. Cocina en una parrilla o sartén a fuego medio-alto durante 10-12 minutos hasta que el pollo esté bien cocido.","2"
"r1240","Pizza de Pollo y Espinacas","masa para pizza, pollo, espinacas, tomate, queso mozzarella, aceite de oliva, sal","Precalienta el horno a 220°C. Extiende la masa para pizza en una bandeja para hornear. Unta 1/2 taza de tomate triturado sobre la masa. Añade 1 taza de pollo cocido y desmenuzado, 1 taza de espinacas frescas y 1 taza de queso mozzarella rallado. Hornea durante 10-12 minutos hasta que la masa esté dorada y el queso derretido. Sirve caliente.","2"
"r1250","Pasta con Pollo y Brócoli","pasta, pollo, brócoli, ajo, aceite de oliva, queso parmesano, sal, pimienta","Cocina 200 g de pasta según las instrucciones del paquete. Cocina 1 cabeza de brócoli en agua hirviendo durante 3-4 minutos hasta que esté tierno y escúrrelo. En una sartén grande, calienta 2 cucharadas de aceite de oliva y sofríe 2 dientes de ajo picados hasta que estén dorados. Añade 2 pechugas de pollo cortadas en tiras y cocina hasta que estén doradas. Incorpora el brócoli y la pasta cocida, y mezcla bien. Sazona con sal y pimienta al gusto y espolvorea con queso parmesano rallado antes de servir.","2"
"r1260","Sopa de Verduras","zanahoria, papa, apio, cebolla, ajo, tomate, caldo de verduras, aceite de oliva, sal, pimienta","En una olla grande, calienta 2 cucharadas de aceite de oliva y sofríe 1 cebolla picada, 2 zanahorias en rodajas, 2 papas en cubos, 2 ramas de apio picadas y 2 dientes de ajo picados hasta que estén tiernos. Añade 1 litro de caldo de verduras y 2 tomates picados. Lleva a ebullición, reduce el fuego y cocina a fuego lento durante 20-25 minutos hasta que las verduras estén tiernas. Sazona con sal y pimienta al gusto y sirve caliente.","1"
"r1270","Arroz con Atún","arroz, atún, cebolla, pimiento, guisantes, maíz, aceite de oliva, sal, pimienta","Cocina 1 taza de arroz según las instrucciones del paquete. En una sartén grande, calienta 2 cucharadas de aceite de oliva y sofríe 1 cebolla picada y 1 pimiento picado hasta que estén tiernos. Añade 1/2 taza de guisantes y 1/2 taza de maíz, y cocina por 2-3 minutos más. Incorpora 1 lata de atún escurrido y el arroz cocido. Sazona con sal y pimienta al gusto y mezcla bien antes de servir.","1"
"r1280","Pollo en Salsa de Champiñones","pollo, champiñones, cebolla, ajo, crema de leche, aceite de oliva, sal, pimienta","Cocina 2 pechugas de pollo a la plancha hasta que estén bien cocidas. En una sartén grande, calienta 2 cucharadas de aceite de oliva y sofríe 1 cebolla picada y 2 dientes de ajo picados hasta que estén dorados. Añade 1 taza de champiñones en rodajas y cocina por 5-7 minutos. Incorpora 1 taza de crema de leche y cocina a fuego lento durante 5 minutos. Sazona con sal y pimienta al gusto y vierte la salsa sobre el pollo antes de servir.","2"
"r1290","Ensalada de Pasta y Atún","pasta, atún, tomate, cebolla, aceitunas, aceite de oliva, vinagre, sal, pimienta","Cocina 200 g de pasta según las instrucciones del paquete y enfría. En un bol grande, mezcla la pasta cocida con 1 lata de atún escurrido, 2 tomates en cubos, 1/2 cebolla picada y 1/2 taza de aceitunas en rodajas. Adereza con 2 cucharadas de aceite de oliva, 1 cucharada de vinagre, sal y pimienta al gusto. Mezcla bien antes de servir.","1"
